,Position,Company,City,State.Name,Job.Description,Employment.Type,Education.Required
23549,Direct Support Professional - Adult Services,LifeScape,Sioux Falls,South Dakota,"







**Increased Starting Pay / Additional Wage Increase
after only six months***

This position is for a person that has a passion for helping others as you will
provide care and support for adults with disabilities. Care
environments may be residential, production, custodial, dietary or&nbsp;employment
services.

Full-Time Direct Support Professional Positions available (30 - 40 hours per
week)

Part-Time Direct Support Professional
Positions available (6 &ndash; 28 hours per week)

KEY RESPONSIBILITY AREAS

Assistance with the following: 

&bull; Dietary and hygiene needs, positioning, and transferring, according to each
individual&rsquo;s appropriate need for assistance. 
&bull; Develop daily living/learning capabilities to the appropriate individual
level in residential, classroom and/or employment environments.
&bull; Community integration. 
&bull; Learning, recreational and/or production activities.
&bull; Transportation needs of individuals as needed.
&bull; Acquisition of resources required to achieve the individual&rsquo;s goals.
&bull; Individual medical needs and communicating with appropriate medical staff.
May administer, order and check medications as needed.

LifeScape is an Affirmative Action &amp; Equal
Opportunity Employer of females, minorities, individuals with disabilities and
protected veterans.
",Full-Time/Part-Time,High School Diploma
15088,Office Manager**NEW OPPORTUNITY WITH GREAT COMPANY**,OfficeTeam,Bluffdale,Utah,"Ref ID: 04820-001460Classification: Office/Admin Supervisor/MgrCompensation: $18.21 to $21.09 per hour**NEW OPPORTUNITY WITH GREAT COMPANY** Looking for a professional with GREAT Communication, FAST Learner and VERY Detail Oriented individuals!!! We are looking for an Administrative Super Star that is a self start and has AWESOME customer service, proofing and compliance skills. Any experience with Office Management would be preferred but not required. OfficeTeam is interviewing NOW!",Seasonal/Temp,Not Specified
12756,Greenskeeper,American Golf,Thousand Oaks,California,"Maintains a safe and comfortable golfing experience for members and guests by performing a diverse range of activities involved in golf course conditioning.
        
        


  
  
    
Essential Duties and Responsibilities:

    
            
                    

Maintain course accessibility and appearance using power and hand tools to perform activities such as: mowing, weeding, edging, setup, raking sand traps, laying sod, planting trees, shrubs and flowers.

Maintain course accessibility and appearance using tools and/or chemicals to perform activities such as: weed abatement, pest control, irrigation, cultivation and proper drainage

Maintain the appearance and functionality of each hole by changing the cups, tee markers and tee towels, emptying trash and maintaining ball washers

Operate and maintain utility vehicles and equipment, following company safety standards and manufacturer’s recommendations

Communicate potential problems by informing manager of any agronomic or maintenance equipment issues

Ensure consistency in course conditions by training, scheduling and evaluating the work of other Greenskeepers

        
        


  
  
    
Additional Responsibilities:  

    
            
                    

Repair equipment, spray and fertilize course greens

Maintain a safe and orderly maintenance shop

Implement and support all AGC initiatives and programs as requested by management

        
        


  
  
    
Job BenefitsMerchandise Discounts
Meal and Beverage Discounts
Golf and Tennis Privileges
",Part-Time,Not Specified
41419,Customer Service Specialist,OfficeTeam,Indianapolis,Indiana,"Ref ID: 01401-000398Classification: Customer ServiceCompensation: $13.50 to $14.50 per hourThe Robert Half Healthcare Practice has an immediate need for a customer service specialist with a well respected company located downtown. This customer service specialist will be responsible for implementation, coordination, and documentation for client enrollment. This customer service specialist will be responsible for administering new and existing client information, researching and troubleshooting to initiate corrective actions for clients, and to act as a liaison with other departments to provide outstanding customer service to the clients. Get your career moving in the right direction and apply today at www.officeteam.com!",Seasonal/Temp,Not Specified
36010,Steward -overnights (Position works with the Team Member Shuttle),Mystic Lake Casino and Hotel,Prior Lake,Minnesota,"Job Summary: Operates dish machine, cleans floors and kitchen equipment, stocks kitchenware in food outlets. Assists in banquet events. Applies high guest service standards.Job Duties:Operates dish machine and maintains racks and dish storage.Cleans floors and light kitchen equipment. Removes trash and cleans coolers.Delivers and stocks plates, glasses, pots and pans for all restaurant and kitchen areas, including banquets.",Part-Time,Not Specified
22599,Groundskeeper **PART-TIME - 30-35 HOURS **,JIm Riehl's Friencly Chrysler,Saginaw,Michigan,"GROUNDS KEEPER
**PART-TIME - 30-35 HOURS**

Grounds person needed part time (30-35 hours per week) for busy automotive facility.  
This is an excellent opportunity to join an industry leader and grow with us in an environment that is both challenging and energetic.  

Responsibilities include/but not limited to:

    Landscaping
    Pulling weeds
    Planting flowers
    Sweep curbs
    Prune plants, shrubs and trees
    Spreading mulch
    “Creating curb appeal""
    NO MOWING!!!!



",Part-Time,Not Specified
55967,Staff Registered Nurse Float Pool - Ballard 0.9 FTE Nights,Swedish Health,Seattle,Washington,"Where you work matters!  Swedish Medical Center is looking for a Staff Registered Nurse for the Float Pool at Swedish Ballard in Seattle, WA. 
We are looking for an experienced RN willing to float to multiple campuses who will uphold the Swedish standards in patient care.  These nurses will be role models demonstrating flexibility, positive attitude, and strong problem solving skills.

In this position you will\: 

Provide nursing care adapted to the individual patient needs based on the nursing process, which includes assessment, planning, implementation, and evaluation. 
Communicate effectively with patients, families, physicians, and coworkers, being an advocate for the patient at all times. 
Evaluate patient’s response to care and initiates independent and/or collaborative changes where appropriate.",Part-Time,Associate Degree
61431,Patient Access Rep I - PRN - Variable Shifts,CHRISTUS Health.,Coushatta,Louisiana,"Patient Access Rep 1 staff facilitates easy access to scheduling radiology exams for referring physicians and are responsible for establishing an encounter for any patient who meets the guidelines for service. Patient Access Rep 1 staff complete data entry that is accurate including demographic and financial information for each account. Patient Access Rep 1 staff have numerous procedural requirements which may include data elements, insurance verification, authorization for services, obtaining accurate physician orders, instructing patients regarding amount owed and how to access payment arrangements. Patient Access Rep 1 staff communicates directly with patients and families, physicians, nurses, insurance companies and third party payers.  This position requires professional appearance, behavior, and excellent communication skills.  Patient Access Rep 1 staff require dependability, flexibility, and teamwork.1.   REGISTRATION                                     •     Obtains and accurately inputs all required data elements for registration, including patient demographic, financial information, guarantor information, and relevant notes associated with the encounter.-     Data fields include but are not limited to:  address, employment, insurance info, nearest relative, guarantor, insurance plan, admitting diagnosis, working diagnosis, and physician information.•     Prioritizes registration in a consistent, courteous, professional, accurate and timely manner.•     Ensures each patient is assigned only one medical record number.•     Selects appropriate patient type based on the department and services required.•     Communicates the purpose of and obtains patient/legal guardian signatures on all necessary hospital documents.   Knowledgeable of all such documents.-     Hospital consent forms-     Assignment of benefits-     Payroll Deduction Form-     Acknowledgement of Account-     Financial Assistance Application-     Living Will (& inquires if Living Will exists)-     Advance Directive.  (Obtains information from all patients over 18 years of age, and provides written information to patient when requested.)-     Patient Rights•     Documents in account notes.•     Ensures orders are received and are consistent with tests/procedures.•     Prepares account/patient folder with necessary forms completed and signed.•     Gives patient documents that he/she needs to take with him/her to other departments.2.   INSURANCE VERIFICATION / EXPLANATION OF BENEFITS     •     Verifies eligibility and obtains necessary authorizations for services rendered.-     Medicare / Medicaid eligibility information through the patient admission process.-     Answer Medicare Secondary Payor Questionnaire.-     Utilizes online eligibility or Medifax when necessary for verification of Medicare / Medicaid-     Obtains online verification of major payors, including Blue Cross (I-Link Blue), State Employees Group Benefit, Tricare, United Healthcare, and others.•     Utilizes appropriate spreadsheets and worksheets to calculate patient financial responsibility.•     Performs financial assessment for appropriate program assistance.•     Utilizes appropriate guidelines to assist patient with financial responsibility.•     Demonstrates accuracy in selecting insurance plans (I-plans).3.   COLLECTIONS                                                               •     Calculates and collects the estimated patient portion based on benefits and contract reimbursement as well as prior balances.-     Utilizes appropriate language and behavior to collect patient financial responsibility.-     Collect co-payments, deductibles, deposits and /or amounts due on previous accounts.-     Knowledge and ability to review notes on all pre-admitted accounts and discuss with customer in a courteous professional manner-     Knowledge of insurance plans-     Knowledge and ability to review and explain previous accounts-     Knowledge and ability to complete payroll deduction forms, account acknowledgement forms when appropriate-     Writes or prints receipts and balances cash drawers.4.   CUSTOMER FOCUS                                                                     •     Effectively meets customer needs, builds productive customer relationships, and takes responsibility for customer satisfaction and loyalty.•     Greets patients in a courteous and professional manner.•     Calls patients by name.•     Asks patients if they may have special needs.•     Represents the Patient Access / Pre-Access department in a professional, courteous manner at ALL times.5.   ERRORS                                                                                                             •     Makes minimal errors in performing admissions / scheduling / insurance verification / pre-registration.  See Error Policy and Procedure for target error rate percentage.•     Utilizes education information to reduce error rates.•     Requests additional education information when necessary.•     Demonstrates ability to select correct insurance plans.      6.   OTHER                                                                                                  •     Required to assist the hospital in the event of an internal or external disaster.•     Supports the flexible needs of the department to accommodate patient volume in all areas of the hospital. This may require assignment to another area of the department, and shift change.•     Supports the department in achieving established performance targets.•     Completes required training as needed.•     Performs all other duties as assigned. •     Demonstrates reliability and dependability by reporting to work when scheduled.   









Whether your skills lie in patient care or administration and you prefer to work in not-for-profit health care, CHRISTUS Health facilities may have a career opportunity for you. CHRISTUS Health and our facilities are committed to being an equal opportunity employer as part of our on-going mission. It is the policy of CHRISTUS Health not to discriminate on the basis of race, color, creed, religion, gender, orientation, disability, age or national origin.CHRISTUS Health is committed to providing meaningful benefits for you and your family and to sharing with you the prosperity you help create. We support our health care teams with competitive compensation and an outstanding benefits package. Medical Health CoveragePrescription Drug PlanDental CoverageVision CoverageLong-Term DisabilityGroup Term LifeAccidental Death & Dismemberment",Part-Time,High School Diploma
45935,Associate Process Engineer,Pharmascent,Vacaville,California,"Associate Process EngineerLocation: Vacaville, CAResponsibilities: 	Provide assistance for the process design and project coordination.	Assist with the design, specification, and installation of new and renovated equipment.	Provide support for preparation of Piping & Instrumentation Diagrams and other related drawings and documents.	Coordinate the scope, deliverables, schedule, budget and quality of engineering projects related to equipment, piping, and controls.	Support QA/Validation Department through preparation of design documents and protocol review.Qualifications	BS/BA or higher in chemical, mechanical or biochemical engineering.	Biotech and pharmaceutical experience preferred.	Knowledge of process equipment design and process control.	Knowledge of engineering documentation required for cGMP process equipment.	Good written and oral communication skills.	Knowledge of word processing, spreadsheets, database management software, CAD software, and PCs.",Full-Time/Part-Time,Not Specified
28548,Senior Accountant,Accountemps,Redwood City,California,"Ref ID:00430-136257Classification:Accountant - SeniorCompensation:$30.00 to $35.00 per hourWhat You'll Do: -Responsible for Full Cycle Accounts Payable -Utilizing Concur to process Expense Reports and perform credit card expense reconciliation -Assist with Month End Close, perform Account Reconciliations, and work with Fixed Assets -Prepare and post Journal Entries Who You Are: -BS in Accounting or related business degree highly preferred -Proficiency in NetSuite, Concur, and Excel -High level of attention to detail -Organized with the ability to multi-task What's In It For You: -Work with a team of industry leaders in a efficient & hyper growth environment -Catered breakfast and lunch -Work Hard, Play Hard environment: billiard tables & table tennis on site -After hours social events with food, beverages, and music Hours: 8:00 am - 5:00 pm Duration of Assignment: Contract to full time Pay: $30-$35/hr While working as a contract employee through Accountemps, you will have access to benefits, be eligible for holiday pay and bonus pay, have access to complimentary online tutorials and can participate in our 401K program after 52 consecutive weeks of contract employment. For immediate consideration, send your updated resume as a Word document to Kristine Chiba at [Click Here to Email Your Resumé].",Seasonal/Temp,Not Specified
